turn,picker_number,picker_name,caller_number,caller_name,picker_cards,picker_call,caller_choose,winner,loser
1,0,Robot0,1,Robot1,Ahuri,Golgotha,TRUE,0,1
2,1,Robot1,2,Robot2,Golgotha,Golgotha,TRUE,2,1
3,1,Robot1,2,Robot2,Shiva,Ondine,TRUE,1,2
4,2,Robot2,3,Robot3,Shiva,Golgotha,TRUE,2,3
5,3,Robot3,0,Robot0,Taurus,Shiva,FALSE,0,3
6,3,Robot3,0,Robot0,Ondine,Taurus,TRUE,3,0
7,0,Robot0,1,Robot1,Leviathan,Shiva,TRUE,0,1
8,1,Robot1,2,Robot2,Ondine,Bahamut,FALSE,2,1
9,1,Robot1,2,Robot2,Leviathan,Ondine,FALSE,2,1
10,1,Robot1,2,Robot2,Taurus,Ifrit,TRUE,1,2
11,2,Robot2,3,Robot3,Leviathan,Golgotha,TRUE,2,3
12,3,Robot3,0,Robot0,Shiva,Ondine,TRUE,3,0
13,0,Robot0,1,Robot1,Golgotha,Bahamut,FALSE,1,0
14,0,Robot0,1,Robot1,Shiva,Taurus,TRUE,0,1
15,1,Robot1,2,Robot2,Taurus,Leviathan,TRUE,1,2
16,2,Robot2,3,Robot3,Bahamut,Bahamut,FALSE,2,3
17,3,Robot3,0,Robot0,Golgotha,Ifrit,FALSE,0,3
18,3,Robot3,0,Robot0,Taurus,Leviathan,TRUE,3,0
19,0,Robot0,1,Robot1,Taurus,Ahuri,FALSE,1,0
20,0,Robot0,1,Robot1,Bahamut,Golgotha,FALSE,1,0
21,0,Robot0,1,Robot1,Taurus,Leviathan,TRUE,0,1
22,1,Robot1,2,Robot2,Taurus,Ahuri,TRUE,1,2
23,2,Robot2,3,Robot3,Ondine,Bahamut,FALSE,3,2
24,2,Robot2,3,Robot3,Golgotha,Taurus,TRUE,2,3
25,3,Robot3,0,Robot0,Leviathan,Golgotha,TRUE,3,0
26,0,Robot0,1,Robot1,Ahuri,Shiva,TRUE,0,1
27,1,Robot1,2,Robot2,Shiva,Taurus,TRUE,1,2
28,2,Robot2,3,Robot3,Ondine,Ahuri,FALSE,3,2
29,2,Robot2,3,Robot3,Bahamut,Golgotha,TRUE,2,3
30,3,Robot3,0,Robot0,Shiva,Bahamut,FALSE,0,3
31,3,Robot3,0,Robot0,Shiva,Ahuri,FALSE,0,3
32,3,Robot3,0,Robot0,Bahamut,Bahamut,TRUE,0,3
33,3,Robot3,0,Robot0,Ahuri,Ondine,FALSE,0,3
34,3,Robot3,0,Robot0,Ahuri,Golgotha,TRUE,3,0
35,0,Robot0,1,Robot1,Bahamut,Ifrit,FALSE,1,0
36,0,Robot0,1,Robot1,Golgotha,Ondine,TRUE,0,1
37,1,Robot1,2,Robot2,Ahuri,Taurus,FALSE,2,1
38,1,Robot1,2,Robot2,Ondine,Shiva,FALSE,2,1
39,1,Robot1,2,Robot2,Ondine,Ahuri,FALSE,2,1
40,1,Robot1,2,Robot2,Ifrit,Golgotha,FALSE,2,1
41,1,Robot1,2,Robot2,Ifrit,Leviathan,TRUE,1,2
42,2,Robot2,3,Robot3,Ondine,Ahuri,FALSE,3,2
43,2,Robot2,3,Robot3,Bahamut,Shiva,FALSE,3,2
44,2,Robot2,3,Robot3,Golgotha,Shiva,FALSE,3,2
45,2,Robot2,3,Robot3,Ifrit,Bahamut,FALSE,3,2
46,2,Robot2,3,Robot3,Ifrit,Ahuri,FALSE,3,2
47,2,Robot2,3,Robot3,Ifrit,Bahamut,FALSE,3,2
48,2,Robot3,0,Robot0,Bahamut,Ondine,FALSE,0,2
49,0,Robot0,1,Robot1,Leviathan,Bahamut,FALSE,1,0
50,0,Robot0,1,Robot1,Golgotha,Bahamut,TRUE,0,1
51,1,Robot1,0,Robot0,Ahuri,Leviathan,FALSE,0,1
